Original feature,Mean absolute SHAP
sttl,3.0066402
ct_dst_sport_ltm,0.8383073
ct_state_ttl,0.70262456
service,0.61048
sbytes,0.60487777
smean,0.52831423
ct_srv_dst,0.38885126
proto,0.26673853
ct_srv_src,0.25351214
ct_dst_src_ltm,0.20990871
dbytes,0.1641711
ct_src_ltm,0.14429696
dmean,0.13834715
synack,0.13291496
dload,0.12317809
dtcpb,0.11536115
sloss,0.11288672
sinpkt,0.09743557
sjit,0.09617996
rate,0.09163178
ct_dst_ltm,0.08903161
tcprtt,0.08412348
dpkts,0.08246958
swin,0.0776867
sload,0.073727846
dur,0.07227984
ct_src_dport_ltm,0.06713055
state,0.05531673
dloss,0.05484919
djit,0.05050651
dttl,0.049300913
stcpb,0.045414384
ackdat,0.042505596
trans_depth,0.042195957
dinpkt,0.0377618
spkts,0.036351826
response_body_len,0.028589966
ct_flw_http_mthd,0.01715281
is_sm_ips_ports,0.0010479959
is_ftp_login,0.00082881725
ct_ftp_cmd,0.0
dwin,0.0
