Original feature,SHAP,AbsSHAP
ct_dst_sport_ltm,2.910345,2.910345
service,2.1414037,2.1414037
sttl,1.7689211,1.7689211
ct_src_ltm,1.1344937,1.1344937
sbytes,1.1294725,1.1294725
ct_srv_src,-1.0114678,1.0114678
smean,0.8795211,0.8795211
ct_state_ttl,0.34875262,0.34875262
ct_srv_dst,-0.3386698,0.3386698
dtcpb,0.21605794,0.21605794
ct_src_dport_ltm,0.20586619,0.20586619
sinpkt,0.15246376,0.15246376
synack,0.11301101,0.11301101
swin,0.101509124,0.101509124
dur,0.09563108,0.09563108
ct_dst_src_ltm,-0.08975021,0.08975021
dload,0.08637817,0.08637817
proto,-0.08401637,0.08401637
dbytes,0.07707412,0.07707412
sloss,0.066713594,0.066713594
sload,0.037414763,0.037414763
dpkts,-0.03496239,0.03496239
sjit,-0.033923827,0.033923827
rate,0.032659367,0.032659367
ackdat,0.029603055,0.029603055
djit,0.027260233,0.027260233
dloss,0.02363523,0.02363523
stcpb,0.023531644,0.023531644
dmean,-0.022427617,0.022427617
state,0.01687982,0.01687982
tcprtt,0.009865425,0.009865425
response_body_len,0.009443722,0.009443722
trans_depth,-0.009035826,0.009035826
dinpkt,0.00849806,0.00849806
ct_flw_http_mthd,-0.008237198,0.008237198
ct_dst_ltm,0.0044318195,0.0044318195
spkts,-0.0020388085,0.0020388085
dttl,-0.0017512487,0.0017512487
is_ftp_login,-0.00043690635,0.00043690635
is_sm_ips_ports,0.00040566514,0.00040566514
ct_ftp_cmd,0.0,0.0
dwin,0.0,0.0
