Feature condition,LIME weight,Original feature
62.00 < num__sttl <= 254.00,0.6779850515846392,62.00
cat__proto_sps <= 0.00,0.3125281018578269,proto
cat__proto_ddp <= 0.00,0.3031869977671963,proto
cat__proto_leaf-2 <= 0.00,0.2646616317910677,proto
cat__proto_egp <= 0.00,-0.19242589194440773,proto
cat__proto_skip <= 0.00,0.1817121412901484,proto
cat__proto_sprite-rpc <= 0.00,-0.13893738223320962,proto
cat__proto_argus <= 0.00,-0.12442909792000785,proto
cat__proto_ipx-n-ip <= 0.00,-0.09212714041736478,proto
cat__proto_idrp <= 0.00,-0.0851584525731657,proto
cat__proto_3pc <= 0.00,0.05056507937642632,proto
cat__proto_irtp <= 0.00,-0.04094648333286665,proto
