test_position,true_class,SHAP_LIME_Top5_overlap,SHAP_LIME_Top5_Jaccard
198,0,0,0.0
227,0,0,0.0
298,1,0,0.0
544,1,0,0.0
794,1,1,0.14285714285714285
826,1,0,0.0
1199,1,0,0.0
1467,1,0,0.0
1719,1,1,0.14285714285714285
2333,1,0,0.0
2371,1,1,0.14285714285714285
3191,1,1,0.14285714285714285
3280,1,1,0.16666666666666666
3527,1,0,0.0
4024,1,1,0.14285714285714285
4588,1,1,0.14285714285714285
4641,1,1,0.14285714285714285
4871,1,1,0.14285714285714285
4983,1,1,0.14285714285714285
5167,1,1,0.14285714285714285
5199,1,1,0.14285714285714285
5229,1,1,0.16666666666666666
5767,1,1,0.14285714285714285
5788,1,1,0.14285714285714285
5960,1,1,0.14285714285714285
6776,1,1,0.14285714285714285
6800,1,1,0.14285714285714285
7055,1,1,0.14285714285714285
7262,1,0,0.0
7448,1,1,0.14285714285714285
