test_position,true_class,k,baseline_probability,SHAP_topk_probability_after_masking,Random_topk_probability_after_masking,SHAP_probability_drop,Random_probability_drop
198,0,1,0.002797864144667983,0.047725215554237366,0.002797864144667983,-0.04492735140956938,0.0
198,0,3,0.002797864144667983,0.7854021191596985,0.047725215554237366,-0.7826042550150305,-0.04492735140956938
198,0,5,0.002797864144667983,0.9654397964477539,0.00808226503431797,-0.9626419323030859,-0.005284400889649987
198,0,10,0.002797864144667983,0.9849933385848999,0.010694131255149841,-0.9821954744402319,-0.007896267110481858
227,0,1,0.006541811861097813,0.9001682996749878,0.006541811861097813,-0.89362648781389,0.0
227,0,3,0.006541811861097813,0.9880462884902954,0.013476635329425335,-0.9815044766291976,-0.006934823468327522
227,0,5,0.006541811861097813,0.9920550584793091,0.4405607581138611,-0.9855132466182113,-0.43401894625276327
227,0,10,0.006541811861097813,0.9947716593742371,0.07398354262113571,-0.9882298475131392,-0.0674417307600379
298,1,1,0.9967701435089111,0.9967701435089111,0.9958166480064392,0.0,0.0009534955024719238
298,1,3,0.9967701435089111,0.9708985090255737,0.9978601336479187,0.025871634483337402,-0.0010899901390075684
298,1,5,0.9967701435089111,0.9579038023948669,0.9961129426956177,0.03886634111404419,0.000657200813293457
298,1,10,0.9967701435089111,0.7530502676963806,0.9944077730178833,0.24371987581253052,0.002362370491027832
544,1,1,0.9934806823730469,0.9934806823730469,0.9884449243545532,0.0,0.005035758018493652
544,1,3,0.9934806823730469,0.9236429929733276,0.9939185380935669,0.06983768939971924,-0.00043785572052001953
544,1,5,0.9934806823730469,0.8475247621536255,0.9894354343414307,0.1459559202194214,0.004045248031616211
544,1,10,0.9934806823730469,0.9156083464622498,0.9699224233627319,0.07787233591079712,0.02355825901031494
794,1,1,0.9996023774147034,0.9996023774147034,0.9995100498199463,0.0,9.232759475708008e-05
794,1,3,0.9996023774147034,0.9882948398590088,0.9994161128997803,0.01130753755569458,0.0001862645149230957
794,1,5,0.9996023774147034,0.8713381886482239,0.9995241165161133,0.1282641887664795,7.826089859008789e-05
794,1,10,0.9996023774147034,0.9210120439529419,0.9994275569915771,0.07859033346176147,0.0001748204231262207
826,1,1,0.48415857553482056,0.48415857553482056,0.5240001678466797,0.0,-0.03984159231185913
826,1,3,0.48415857553482056,0.7315524220466614,0.48415857553482056,-0.24739384651184082,0.0
826,1,5,0.48415857553482056,0.7125594019889832,0.42059212923049927,-0.2284008264541626,0.06356644630432129
826,1,10,0.48415857553482056,0.7168006896972656,0.6904342174530029,-0.23264211416244507,-0.20627564191818237
1199,1,1,0.9989233613014221,0.9989233613014221,0.9985906481742859,0.0,0.00033271312713623047
1199,1,3,0.9989233613014221,0.9857446551322937,0.9976370334625244,0.013178706169128418,0.001286327838897705
1199,1,5,0.9989233613014221,0.985267162322998,0.9981022477149963,0.013656198978424072,0.0008211135864257812
1199,1,10,0.9989233613014221,0.8682862520217896,0.9977273344993591,0.13063710927963257,0.0011960268020629883
1467,1,1,0.9969919919967651,0.9969919919967651,0.9969919919967651,0.0,0.0
1467,1,3,0.9969919919967651,0.9171538352966309,0.9986593723297119,0.07983815670013428,-0.0016673803329467773
1467,1,5,0.9969919919967651,0.7792127132415771,0.9937122464179993,0.217779278755188,0.003279745578765869
1467,1,10,0.9969919919967651,0.23966120183467865,0.9983017444610596,0.7573307901620865,-0.0013097524642944336
1719,1,1,0.9997847676277161,0.9997847676277161,0.9885722398757935,0.0,0.011212527751922607
1719,1,3,0.9997847676277161,0.9446234107017517,0.9885722398757935,0.055161356925964355,0.011212527751922607
1719,1,5,0.9997847676277161,0.8520210981369019,0.9965817332267761,0.1477636694908142,0.0032030344009399414
1719,1,10,0.9997847676277161,0.8603271842002869,0.997308611869812,0.1394575834274292,0.0024761557579040527
2333,1,1,0.9982977509498596,0.9982977509498596,0.9982977509498596,0.0,0.0
2333,1,3,0.9982977509498596,0.9788500666618347,0.9982977509498596,0.019447684288024902,0.0
2333,1,5,0.9982977509498596,0.9788500666618347,0.998176097869873,0.019447684288024902,0.00012165307998657227
2333,1,10,0.9982977509498596,0.9766327142715454,0.9963447451591492,0.02166503667831421,0.0019530057907104492
2371,1,1,0.9994118213653564,0.9991816878318787,0.9994118213653564,0.0002301335334777832,0.0
2371,1,3,0.9994118213653564,0.996867835521698,0.9971644282341003,0.0025439858436584473,0.0022473931312561035
2371,1,5,0.9994118213653564,0.9886596202850342,0.996212363243103,0.010752201080322266,0.003199458122253418
2371,1,10,0.9994118213653564,0.9269528388977051,0.9986680746078491,0.07245898246765137,0.0007437467575073242
3191,1,1,0.9999771118164062,0.99906986951828,0.9999771118164062,0.0009072422981262207,0.0
3191,1,3,0.9999771118164062,0.9911109209060669,0.9999771118164062,0.008866190910339355,0.0
3191,1,5,0.9999771118164062,0.9009793400764465,0.9999463558197021,0.09899777173995972,3.075599670410156e-05
