Model,Metric,Estimate,CI_2.5%,CI_97.5%,Bootstrap replicates
Logistic Regression,Accuracy,0.8117864256911043,0.8091990356119128,0.814494971578487,2000
Logistic Regression,Precision,0.75520922434735,0.7517082049100741,0.7586260702446618,2000
Logistic Regression,Recall,0.9738154063354805,0.9723134454175819,0.9752540646823527,2000
Logistic Regression,F1,0.8506927716647718,0.8483904717141739,0.8530242004228443,2000
Logistic Regression,Balanced Accuracy,0.7935428383028753,0.7909885982031882,0.7961799187895554,2000
Logistic Regression,ROC-AUC,0.9562830886123043,0.9551194459304443,0.9574998584936333,2000
Logistic Regression,PR-AUC,0.9665061654719893,0.9651550583674318,0.9678338761642592,2000
Logistic Regression,Brier,0.11262585159520026,0.11107040750692478,0.11411039768470549,2000
Random Forest,Accuracy,0.8704999271243259,0.8682161856872176,0.8726865009959676,2000
Random Forest,Precision,0.8159055290301418,0.8126360952522804,0.819124147879097,2000
Random Forest,Recall,0.9876466954910439,0.9865858849301362,0.9886677736826165,2000
Random Forest,F1,0.8935991856775043,0.891593171149271,0.8956125075561266,2000
Random Forest,Balanced Accuracy,0.8573098342320085,0.8550162852738503,0.8595644018000582,2000
Random Forest,ROC-AUC,0.9801651556921787,0.9794745329441549,0.9808770813918476,2000
Random Forest,PR-AUC,0.9836236564950653,0.9829123040939793,0.9843495925535919,2000
Random Forest,Brier,0.08253130966411322,0.08122699212865996,0.0838241883530824,2000
XGBoost,Accuracy,0.8731963270660253,0.870949023465967,0.8755162026915415,2000
XGBoost,Precision,0.8215259859933652,0.8182457700307949,0.8247644324987133,2000
XGBoost,Recall,0.9833230389129092,0.9820681923222431,0.9844563484789464,2000
XGBoost,F1,0.8951723029962246,0.893165492231261,0.8971630933539526,2000
XGBoost,Balanced Accuracy,0.8607966545915897,0.8584687301993922,0.8631876496584056,2000
XGBoost,ROC-AUC,0.983598012322302,0.983005764151844,0.984211677652985,2000
XGBoost,PR-AUC,0.9879924797845991,0.9875497991571348,0.9884479934812966,2000
XGBoost,Brier,0.08279516871745582,0.0813984076873459,0.08408201419918633,2000
