,precision,recall,f1-score,support
Analysis,0.04567143830947512,0.09896602658788774,0.0625,677.0
Backdoors,0.03051106025934401,0.0686106346483705,0.042238648363252376,583.0
DoS,0.5813295615275813,0.10051357300073367,0.1713928273561301,4089.0
Exploits,0.6043491963441538,0.861300754581387,0.7103011445716191,11132.0
Fuzzers,0.30185105467068446,0.5783569778950841,0.39667364371782543,6062.0
Generic,0.9977683431308513,0.9713846642997191,0.9843997529737132,18871.0
Normal,0.9603171878754592,0.7560810810810811,0.8460479956450077,37000.0
Reconnaissance,0.9334431630971993,0.8103546910755148,0.8675547389373756,3496.0
Shellcode,0.36953807740324596,0.783068783068783,0.5021204410517388,378.0
Worms,0.6428571428571429,0.4090909090909091,0.5,44.0
accuracy,0.7659840645192635,0.7659840645192635,0.7659840645192635,0.7659840645192635
macro avg,0.5467636225475138,0.543772809532947,0.5083229192616663,82332.0
weighted avg,0.8353387649567121,0.7659840645192635,0.7798259163377369,82332.0
